,subfolder_name,spots_green,spots_red,coloc_num,coloc_freq_green,coloc_freq_red
0,2-2,18,17,2,0.1111111111111111,0.11764705882352941
1,2-7,23,26,2,0.08695652173913043,0.07692307692307693
