 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
53,3,357.00000,85.00000,1,2,1,346,74,368,96,289,3483.00000,0.00000,1,0,53,0,53
54,3,361.00000,598.00000,1,2,1,350,587,373,609,289,4128.00000,15555.00000,1,1,54,69,54
55,3,463.00000,556.00000,1,2,1,452,546,474,567,282,27477.00000,0.00000,1,0,55,0,55
56,3,541.00000,481.00000,1,2,1,530,470,552,492,289,6192.00000,0.00000,1,0,56,0,56
57,3,660.00000,747.00000,1,2,1,649,736,671,758,289,6837.00000,0.00000,1,0,57,0,57
58,3,706.00000,691.00000,1,2,1,695,680,717,702,289,7611.00000,0.00000,1,0,58,0,58
59,3,766.00000,457.00000,1,2,1,755,446,777,468,289,8256.00000,0.00000,1,0,59,0,59
60,3,771.00000,537.00000,1,2,1,760,526,782,548,289,8901.00000,0.00000,1,0,60,0,60
61,3,772.00000,661.00000,1,2,1,761,650,783,672,289,9675.00000,0.00000,1,0,61,0,61
62,3,808.00000,815.00000,1,2,1,797,804,819,826,289,10320.00000,0.00000,1,0,62,0,62
63,3,839.00000,756.00000,1,2,1,828,745,850,767,289,10965.00000,0.00000,1,0,63,0,63
64,3,854.00000,537.00000,1,2,1,843,526,865,548,289,11739.00000,0.00000,1,0,64,0,64
65,3,884.00000,441.00000,1,2,1,873,430,895,452,289,12384.00000,0.00000,1,0,65,0,65
66,3,909.90323,882.46774,1,2,1,899,873,922,892,260,6262.00000,0.00000,1,0,66,0,66
67,3,1003.00000,897.00000,1,2,1,992,886,1014,908,289,26832.00000,0.00000,1,0,67,0,67
68,4,240.00000,742.00000,2,2,1,233,735,247,749,129,0.00000,7137.00000,0,1,0,68,68
69,4,366.00000,598.00000,2,2,1,350,587,373,609,129,4128.00000,15555.00000,1,1,54,69,69
70,4,369.94545,186.23636,2,2,1,360,174,378,196,189,0.00000,220.00000,0,1,0,70,70
71,4,393.00000,648.00000,2,2,1,386,641,400,655,129,0.00000,3843.00000,0,1,0,71,71
72,4,518.00000,732.00000,2,2,1,511,725,525,739,129,0.00000,3721.00000,0,1,0,72,72
73,4,611.00000,445.00000,2,2,1,604,438,618,452,129,0.00000,3599.00000,0,1,0,73,73
74,4,666.00000,531.00000,2,2,1,659,524,673,538,129,0.00000,3538.00000,0,1,0,74,74
75,4,700.00000,576.00000,2,2,1,693,569,707,583,129,0.00000,3416.00000,0,1,0,75,75
76,4,700.00000,864.00000,2,2,1,693,857,707,871,109,0.00000,52.00000,0,1,0,76,76
77,4,735.00000,973.00000,2,2,1,728,966,742,980,129,0.00000,2501.00000,0,1,0,77,77
78,4,743.00000,865.75000,2,2,1,737,859,749,871,94,0.00000,160.00000,0,1,0,78,78
79,4,744.95365,884.37775,2,2,1,739,873,751,893,132,0.00000,1726.00000,0,1,0,79,79
80,4,842.00000,897.00000,2,2,1,835,890,849,904,129,0.00000,2196.00000,0,1,0,80,80
81,4,960.00000,908.00000,2,2,1,953,901,967,915,129,0.00000,1952.00000,0,1,0,81,81
82,4,977.62500,648.12500,2,2,1,972,640,983,656,110,0.00000,1008.00000,0,1,0,82,82
83,4,1152.00000,395.00000,2,2,1,1145,389,1159,402,120,0.00000,1220.00000,0,1,0,83,83
84,4,1157.00000,381.00000,2,2,1,1150,374,1164,387,117,0.00000,1098.00000,0,1,0,84,84
85,4,1183.00000,293.00000,2,2,1,1176,286,1190,300,129,0.00000,549.00000,0,1,0,85,85
86,4,1203.00000,423.00000,2,2,1,1195,415,1211,431,141,0.00000,122.00000,0,1,0,86,86
87,4,1211.00000,390.00000,2,2,1,1204,383,1218,397,129,0.00000,7503.00000,0,1,0,87,87
88,5,267.00000,315.00000,1,3,1,256,304,278,326,289,645.00000,0.00000,1,0,88,0,88
89,5,297.00000,218.00000,1,3,1,286,207,308,229,289,1419.00000,0.00000,1,0,89,0,89
90,5,299.00000,512.00000,1,3,1,288,501,310,523,289,2064.00000,0.00000,1,0,90,0,90
91,5,334.00000,550.00000,1,3,1,323,539,344,559,260,2709.00000,0.00000,1,0,91,0,91
92,5,351.00000,572.00000,1,3,1,340,562,362,582,282,19221.00000,0.00000,1,0,92,0,92
93,5,357.00000,85.00000,1,3,1,346,74,368,96,289,3483.00000,0.00000,1,0,93,0,93
94,5,361.00000,600.00000,1,3,1,350,590,372,611,282,4128.00000,0.00000,1,0,94,0,94
95,5,409.00000,594.00000,1,3,1,398,583,420,605,289,19995.00000,0.00000,1,0,95,0,95
96,5,541.00000,482.00000,1,3,1,530,471,552,493,289,6192.00000,0.00000,1,0,96,0,96
97,5,660.00000,749.00000,1,3,1,649,738,671,760,289,6837.00000,0.00000,1,0,97,0,97
98,5,706.00000,691.00000,1,3,1,695,680,717,702,289,7611.00000,0.00000,1,0,98,0,98
99,5,725.00000,770.00000,1,3,1,714,759,736,781,289,32895.00000,0.00000,1,0,99,0,99
100,5,768.00000,465.00000,1,3,1,757,454,779,476,289,8256.00000,0.00000,1,0,100,0,100
101,5,770.00000,542.00000,1,3,1,759,531,781,553,289,8901.00000,0.00000,1,0,101,0,101
102,5,771.00000,660.00000,1,3,1,760,649,782,671,289,9675.00000,0.00000,1,0,102,0,102
103,5,810.00000,815.00000,1,3,1,799,804,821,826,289,10320.00000,0.00000,1,0,103,0,103
104,5,839.00000,756.00000,1,3,1,828,745,850,767,289,10965.00000,0.00000,1,0,104,0,104
105,5,854.00000,537.00000,1,3,1,843,526,865,548,289,11739.00000,0.00000,1,0,105,0,105
106,5,886.00000,442.00000,1,3,1,875,431,897,453,289,12384.00000,0.00000,1,0,106,0,106
107,5,910.24658,882.15068,1,3,1,899,873,923,891,270,7373.00000,0.00000,1,0,107,0,107
108,6,240.00000,742.00000,2,3,1,233,735,247,749,129,0.00000,7137.00000,0,1,0,108,108
109,6,356.00000,218.33333,2,3,1,350,212,363,225,102,0.00000,261.00000,0,1,0,109,109
110,6,368.33333,183.00000,2,3,1,362,176,375,189,102,0.00000,228.00000,0,1,0,110,110
111,6,393.00000,649.00000,2,3,1,386,642,400,656,129,0.00000,3843.00000,0,1,0,111,111
112,6,517.00000,731.00000,2,3,1,510,724,524,738,129,0.00000,3721.00000,0,1,0,112,112
113,6,614.00000,448.00000,2,3,1,607,441,621,455,129,0.00000,3599.00000,0,1,0,113,113
114,6,666.00000,530.00000,2,3,1,659,523,673,537,129,0.00000,3538.00000,0,1,0,114,114
115,6,700.00000,576.00000,2,3,1,693,569,707,583,129,0.00000,3416.00000,0,1,0,115,115
116,6,700.00000,863.66667,2,3,1,693,857,706,870,102,0.00000,156.00000,0,1,0,116,116
117,6,719.00000,857.00000,2,3,1,712,850,726,864,109,0.00000,45.00000,0,1,0,117,117
118,6,735.00000,973.00000,2,3,1,728,966,742,980,129,0.00000,2501.00000,0,1,0,118,118
119,6,741.25000,886.37500,2,3,1,733,880,749,893,121,0.00000,2048.00000,0,1,0,119,119
120,6,743.01497,868.16467,2,3,1,735,857,749,879,151,0.00000,523.91667,0,1,0,120,120
121,6,842.00000,897.00000,2,3,1,835,890,849,904,129,0.00000,2196.00000,0,1,0,121,121
122,6,868.00000,462.00000,2,3,1,861,455,875,469,129,0.00000,2074.00000,0,1,0,122,122
123,6,960.00000,908.00000,2,3,1,953,901,967,915,129,0.00000,1952.00000,0,1,0,123,123
