LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID7441,7441,0,2406.416015625,45.71985689488444,16.76813432820624,0.0,0.0,0,0.35,1,,31425.503875968992,31338.0,24545.0,37219.0,4053890.0,3313.8469528537357,,,0.24253174536130792,3.702038213508787
ID7442,7442,,232.54052734375,59.222287159170364,16.830936329435477,0.0,0.0,0,0.35,1,,2682.5813953488373,2722.0,1858.0,3309.0,346053.0,387.1656359378539,,,0.27915192498666097,3.0241588457467055
ID7443,7443,2,287.64892578125,33.03385264657859,18.652194365083346,0.0,0.0,0,0.35,1,,5868.093023255814,5942.0,4483.0,6625.0,756984.0,512.1490329035774,,,0.1405918313904414,2.8246227961827546
ID7444,7444,1,722.66455078125,51.87445301534965,18.652194365083346,0.0,0.0,0,0.35,1,,7982.31007751938,8054.0,5396.0,10011.0,1029718.0,1179.9247314344993,,,0.2908074061994142,3.0482339796583218
ID7445,7445,3,332.83056640625,30.835782603555298,21.101472413023586,0.0,0.0,0,0.35,1,,8451.08527131783,8566.0,7093.0,9337.0,1090190.0,593.2577963958805,,,0.10986417768887989,2.8202350154061198
ID7446,7446,4,1567.951171875,60.22711917883815,22.42031443883756,0.0,0.0,0,0.35,1,,14764.403100775195,14753.0,10010.0,18680.0,1904608.0,2261.8864172113754,,,0.3708049566148976,3.5313841353199598
ID7447,7447,5,399.98828125,28.07249454946888,22.60872044252527,0.0,0.0,0,0.35,1,,9500.147286821706,9654.0,7141.0,10625.0,1225519.0,846.606545096134,,,0.11878326520170375,2.3828022978133876
