LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2304,2304,37,250.5439453125,20.599056403189692,62.42518922186144,0.0,0.0,0,0.25,1,,12155.934426229509,12288.0,10250.0,13767.0,741512.0,922.3923581074824,,,0.04720100453407977,1.1880202391466275
ID2305,2305,38,608.7177734375,21.289878416711296,62.55079322431992,0.0,0.0,0,0.25,1,,13092.295081967213,12798.0,9752.0,15764.0,798630.0,1660.542073583827,,,0.10455805848516496,1.4926736239479927
ID2306,2306,43,119.53369140625,21.855096427774427,62.73919922800763,0.0,0.0,0,0.25,1,,7397.44262295082,7692.0,3624.0,10266.0,451244.0,1700.5698606113397,,,0.018431384635827313,0.15745023427297736
ID2307,2307,39,330.8759765625,18.58939236385411,62.8648032304661,0.0,0.0,0,0.25,1,,9169.557377049181,9537.0,5806.0,11465.0,559343.0,1273.702745601581,,,0.09289171261982308,1.2237990740526594
ID2308,2308,40,318.638671875,20.473452400731215,63.11601123538305,0.0,0.0,0,0.25,1,,10950.852459016394,10917.0,8375.0,12908.0,668002.0,1265.456200164794,,,0.06299018021819427,1.025591478560079
ID2309,2309,42,318.34765625,18.966204371229534,63.24161523784152,0.0,0.0,0,0.25,1,,8956.016393442624,9101.0,5209.0,10766.0,546317.0,1122.226752069344,,,0.09663781844424325,1.406527269908395
ID2310,2310,56,350.0546875,21.164274414252823,63.24161523784152,0.0,0.0,0,0.25,1,,9940.754098360656,10468.0,5802.0,12964.0,606386.0,1919.2723070280024,,,0.07396210502656111,0.7133998853635442
