LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID4138,4138,,820.3828125,57.715039129668675,24.80679048554856,0.0,0.0,0,0.35,1,,17281.317829457363,17640.0,14148.0,19193.0,2229290.0,1315.7179776201097,,,0.1366118970835846,3.1573328572460237
ID4139,4139,0,1821.0947265625,55.14015707926996,28.888920565448956,0.0,0.0,0,0.35,1,,9365.565891472868,8025.0,2331.0,21676.0,1208158.0,4920.371620945161,,,0.58528008338474,1.4054773678732024
ID4140,4140,1,947.865234375,38.68603275720991,29.768148582658274,0.0,0.0,0,0.35,1,,29349.31007751938,29318.0,25113.0,32649.0,3786061.0,1745.2364936379754,,,0.08464146999286462,2.624645169817181
ID4141,4141,4,854.908203125,58.657069148107226,39.125646765814565,0.0,0.0,0,0.35,1,,23121.57364341085,23292.0,19832.0,25721.0,2982683.0,1545.1426955502855,,,0.10243457580687325,2.780817826499426
ID4142,4142,,900.83740234375,46.28507490594757,39.94207278179464,0.0,0.0,0,0.35,1,,8875.75968992248,8958.0,2724.0,13775.0,1144973.0,2564.4377483646203,,,0.26516992413934704,1.4508375089647927
ID4143,4143,5,1725.603515625,9.42030018438553,43.08217284325649,0.0,0.0,0,0.35,1,,19910.08527131783,20252.0,13146.0,24342.0,2568401.0,2894.652907277399,,,0.27973699402915914,3.0070164176638823
ID4144,4144,18,1126.2392578125,44.84062887767512,44.84062887767512,0.0,0.0,0,0.35,1,,10151.201550387597,9949.0,3880.0,16367.0,1309505.0,2974.8286672823824,,,0.2951305083788171,1.5551993300555471
