Slice,Frame,Particles_in_Ch1,Particles_in_Ch2,Colocalized_ch1&ch2,%_Ch1_coloc_ch1&ch2,%_Ch2_coloc_ch1&ch2
1,1,15,17,0,0,0
2,1,12,15,0,0,0
3,1,12,17,0,0,0
4,1,10,19,0,0,0
5,1,13,20,0,0,0
6,1,11,14,0,0,0
7,1,13,15,0,0,0
8,1,15,16,0,0,0
9,1,12,17,0,0,0
10,1,10,15,0,0,0
11,1,11,17,0,0,0
12,1,10,18,0,0,0
13,1,11,16,0,0,0
14,1,10,14,0,0,0
15,1,8,13,0,0,0
16,1,9,12,0,0,0
17,1,11,15,0,0,0
18,1,10,15,0,0,0
19,1,10,15,0,0,0
20,1,10,13,0,0,0
