 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Circ.,IntDen,RawIntDen,Ch,Slice,AR,Round,Solidity
1,2-2_coloc_label.tif:0001-0686:1,1.515,12.766,0,38,9.420,43.082,9.452,43.114,1.000,19.334,4902.000,1,1,1.000,1.000,1.021
2,2-2_coloc_label.tif:0002-0686:2,1.515,10.167,0,64,9.420,43.082,9.640,43.302,1.000,15.398,3904.000,2,1,1.000,1.000,1.021
3,2-2_coloc_label.tif:0003-1006:1,1.444,85.648,0,243,15.795,63.179,15.858,63.210,1.000,123.635,31347.000,1,1,1.059,0.944,1.017
4,2-2_coloc_label.tif:0004-1006:2,1.444,0.000,0,0,15.795,63.179,15.795,63.179,1.000,0.000,0.000,2,1,1.059,0.944,1.017
5,2-2_coloc_label.tif:0005-1002:1,1.302,38.315,0,109,17.490,62.928,17.517,62.968,0.997,49.869,12644.000,1,1,1.137,0.880,1.031
6,2-2_coloc_label.tif:0006-1002:2,1.302,0.000,0,0,17.490,62.928,17.490,62.928,0.997,0.000,0.000,2,1,1.137,0.880,1.031
7,2-2_coloc_label.tif:0007-0795:1,1.294,30.284,0,77,36.771,49.928,36.833,49.896,0.993,39.177,9933.000,1,1,1.042,0.960,1.000
8,2-2_coloc_label.tif:0008-0795:2,1.294,0.000,0,0,36.771,49.928,36.771,49.928,0.993,0.000,0.000,2,1,1.042,0.960,1.000
9,2-2_coloc_label.tif:0009-0474:1,1.909,3.465,0,13,38.874,29.768,38.717,29.800,0.979,6.614,1677.000,1,1,1.273,0.786,0.996
10,2-2_coloc_label.tif:0010-0474:2,1.909,31.634,0,251,38.874,29.768,39.345,29.862,0.979,60.388,15311.000,2,1,1.273,0.786,0.996
11,2-2_coloc_label.tif:0011-0827:1,1.376,94.499,0,237,39.597,51.969,39.622,52.019,1.000,130.076,32980.000,1,1,1.000,1.000,1.012
12,2-2_coloc_label.tif:0012-0827:2,1.376,0.000,0,0,39.597,51.969,39.597,51.969,1.000,0.000,0.000,2,1,1.000,1.000,1.012
13,2-2_coloc_label.tif:0013-0714:1,1.515,40.984,0,122,44.841,44.841,44.872,44.872,1.000,62.072,15738.000,1,1,1.000,1.000,1.021
14,2-2_coloc_label.tif:0014-0714:2,1.515,0.000,0,0,44.841,44.841,44.841,44.841,1.000,0.000,0.000,2,1,1.000,1.000,1.021
15,2-2_coloc_label.tif:0015-0636:1,1.712,66.581,0,224,46.379,39.942,46.316,39.973,0.999,113.968,28896.000,1,1,1.137,0.879,1.019
16,2-2_coloc_label.tif:0016-0636:2,1.712,9.276,0,66,46.379,39.942,46.756,39.848,0.999,15.879,4026.000,2,1,1.137,0.879,1.019
17,2-2_coloc_label.tif:0017-0904:1,1.515,30.234,0,90,51.686,56.773,51.717,56.804,1.000,45.791,11610.000,1,1,1.000,1.000,1.021
18,2-2_coloc_label.tif:0018-0904:2,1.515,0.000,0,0,51.686,56.773,51.686,56.773,1.000,0.000,0.000,2,1,1.000,1.000,1.021
19,2-2_coloc_label.tif:0019-1108:1,1.515,83.984,0,250,54.449,69.585,54.481,69.616,1.000,127.197,32250.000,1,1,1.000,1.000,1.021
20,2-2_coloc_label.tif:0020-1108:2,1.515,0.000,0,0,54.449,69.585,54.449,69.585,1.000,0.000,0.000,2,1,1.000,1.000,1.021
21,2-2_coloc_label.tif:0021-0460:1,1.515,2.016,0,6,55.140,28.889,55.172,28.920,1.000,3.053,774.000,1,1,1.000,1.000,1.021
22,2-2_coloc_label.tif:0022-0460:2,1.515,0.000,0,0,55.140,28.889,55.140,28.889,1.000,0.000,0.000,2,1,1.000,1.000,1.021
23,2-2_coloc_label.tif:0023-0395:1,1.515,73.234,0,218,57.715,24.807,57.746,24.838,1.000,110.916,28122.000,1,1,1.000,1.000,1.021
24,2-2_coloc_label.tif:0024-0395:2,1.515,0.000,0,0,57.715,24.807,57.715,24.807,1.000,0.000,0.000,2,1,1.000,1.000,1.021
25,2-2_coloc_label.tif:0025-0623:1,1.515,10.750,0,32,58.657,39.126,58.688,39.157,1.000,16.281,4128.000,1,1,1.000,1.000,1.021
26,2-2_coloc_label.tif:0026-0623:2,1.515,0.000,0,0,58.657,39.126,58.657,39.126,1.000,0.000,0.000,2,1,1.000,1.000,1.021
27,2-2_coloc_label.tif:0027-0766:1,1.515,15.117,0,45,62.551,48.106,62.582,48.138,1.000,22.895,5805.000,1,1,1.000,1.000,1.021
28,2-2_coloc_label.tif:0028-0766:2,1.515,0.000,0,0,62.551,48.106,62.551,48.106,1.000,0.000,0.000,2,1,1.000,1.000,1.021
29,2-2_coloc_label.tif:0029-0922:1,1.515,32.250,0,96,63.179,57.903,63.210,57.935,1.000,48.844,12384.000,1,1,1.000,1.000,1.021
30,2-2_coloc_label.tif:0030-0922:2,1.515,0.000,0,0,63.179,57.903,63.179,57.903,1.000,0.000,0.000,2,1,1.000,1.000,1.021
31,2-2_coloc_label.tif:0031-0686:1,1.515,12.766,0,38,9.420,43.082,9.452,43.114,1.000,19.334,4902.000,1,1,1.000,1.000,1.021
32,2-2_coloc_label.tif:0032-0686:2,1.515,10.167,0,64,9.420,43.082,9.640,43.302,1.000,15.398,3904.000,2,1,1.000,1.000,1.021
33,2-2_coloc_label.tif:0033-0704:1,0.576,0.000,0,0,9.986,44.244,9.986,44.244,1.000,0.000,0.000,1,1,1.078,0.928,1.043
34,2-2_coloc_label.tif:0034-0704:2,0.576,28.829,0,69,9.986,44.244,10.017,44.244,1.000,16.601,4209.000,2,1,1.078,0.928,1.043
35,2-2_coloc_label.tif:0035-0932:1,0.615,0.000,0,0,9.986,58.531,9.986,58.531,1.000,0.000,0.000,1,1,1.000,1.000,1.026
36,2-2_coloc_label.tif:0036-0932:2,0.615,29.718,0,76,9.986,58.531,10.017,58.563,1.000,18.285,4636.000,2,1,1.000,1.000,1.026
37,2-2_coloc_label.tif:0037-0164:1,0.615,0.000,0,0,17.271,10.300,17.271,10.300,1.000,0.000,0.000,1,1,1.000,1.000,1.026
