Slice,Frame,Particles_in_Ch1,Particles_in_Ch2,Colocalized_ch1&ch2,%_Ch1_coloc_ch1&ch2,%_Ch2_coloc_ch1&ch2
1,1,15,17,3,20.000,17.647
2,1,12,15,2,16.667,13.333
3,1,12,17,3,25.000,17.647
4,1,10,19,1,10.000,5.263
5,1,13,20,3,23.077,15.000
6,1,11,14,2,18.182,14.286
7,1,13,15,2,15.385,13.333
8,1,15,16,2,13.333,12.500
9,1,12,17,2,16.667,11.765
10,1,10,15,1,10.000,6.667
11,1,11,17,1,9.091,5.882
12,1,10,18,3,30.000,16.667
13,1,11,16,2,18.182,12.500
14,1,10,14,1,10.000,7.143
15,1,8,13,0,0.000,0.000
16,1,9,12,1,11.111,8.333
17,1,11,15,1,9.091,6.667
18,1,10,15,3,30.000,20.000
19,1,10,15,1,10.000,6.667
20,1,10,13,2,20.000,15.385
