 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Circ.,IntDen,RawIntDen,Ch,Slice,AR,Round,Solidity
1,2-2_coloc_label_ctrl.tif:0001-0356:1,1.515,73.234,0,218,24.807,22.358,24.838,22.389,1.000,110.916,28122,1,1,1.000,1.000,1.021
2,2-2_coloc_label_ctrl.tif:0002-0356:2,1.515,0.000,0,0,24.807,22.358,24.807,22.358,1.000,0.000,0,2,1,1.000,1.000,1.021
3,2-2_coloc_label_ctrl.tif:0003-0397:1,1.515,2.016,0,6,28.889,24.932,28.920,24.964,1.000,3.053,774,1,1,1.000,1.000,1.021
4,2-2_coloc_label_ctrl.tif:0004-0397:2,1.515,0.000,0,0,28.889,24.932,28.889,24.932,1.000,0.000,0,2,1,1.000,1.000,1.021
5,2-2_coloc_label_ctrl.tif:0005-0659:1,1.515,4.367,0,13,29.768,41.387,29.800,41.418,1.000,6.614,1677,1,1,1.000,1.000,1.021
6,2-2_coloc_label_ctrl.tif:0006-0659:2,1.515,0.000,0,0,29.768,41.387,29.768,41.387,1.000,0.000,0,2,1,1.000,1.000,1.021
7,2-2_coloc_label_ctrl.tif:0007-0341:1,1.515,10.750,0,32,39.126,21.415,39.157,21.447,1.000,16.281,4128,1,1,1.000,1.000,1.021
8,2-2_coloc_label_ctrl.tif:0008-0341:2,1.515,0.000,0,0,39.126,21.415,39.126,21.415,1.000,0.000,0,2,1,1.000,1.000,1.021
9,2-2_coloc_label_ctrl.tif:0009-0538:1,1.515,75.250,0,224,39.942,33.787,39.973,33.819,1.000,113.968,28896,1,1,1.000,1.000,1.021
10,2-2_coloc_label_ctrl.tif:0010-0538:2,1.515,0.000,0,0,39.942,33.787,39.942,33.787,1.000,0.000,0,2,1,1.000,1.000,1.021
11,2-2_coloc_label_ctrl.tif:0011-1125:1,1.515,12.766,0,38,43.082,70.652,43.114,70.684,1.000,19.334,4902,1,1,1.000,1.000,1.021
12,2-2_coloc_label_ctrl.tif:0012-1125:2,1.515,0.000,0,0,43.082,70.652,43.082,70.652,1.000,0.000,0,2,1,1.000,1.000,1.021
13,2-2_coloc_label_ctrl.tif:0013-0561:1,1.515,40.984,0,122,44.841,35.232,44.872,35.263,1.000,62.072,15738,1,1,1.000,1.000,1.021
14,2-2_coloc_label_ctrl.tif:0014-0561:2,1.515,0.000,0,0,44.841,35.232,44.841,35.232,1.000,0.000,0,2,1,1.000,1.000,1.021
15,2-2_coloc_label_ctrl.tif:0015-0279:1,1.515,15.117,0,45,48.106,17.522,48.138,17.553,1.000,22.895,5805,1,1,1.000,1.000,1.021
16,2-2_coloc_label_ctrl.tif:0016-0279:2,1.515,0.000,0,0,48.106,17.522,48.106,17.522,1.000,0.000,0,2,1,1.000,1.000,1.021
17,2-2_coloc_label_ctrl.tif:0017-0689:1,1.294,30.284,0,77,49.928,43.302,49.896,43.302,0.993,39.177,9933,1,1,1.042,0.960,1.000
